Brand,Actual_price,Discount_price,rating,RAM,Storage,processors,windows
Lenovo,"₹72,490","₹52,500",4,16 GB,512 GB,,Windows 11
HP,"₹54,999","₹32,790",5,8 GB,512 GB,,Windows 11
MSI,"₹1,17,990","₹99,990",1,16 GB,512 GB,,Windows 11
Lenovo,"₹83,890","₹58,750",4.3,8 GB,512 GB,i3,Windows 11
Acer,"₹69,990","₹47,990",5,16 GB,512 GB,i5,Windows 11
CHUWI,"₹34,990","₹15,990",3.7,8GB,256GB,i5,Windows 11
CHUWI,"₹34,990","₹17,990",4.1,8 GB,256 GB,i5,Windows 11
Colorful,"₹99,999","₹59,990",4.5,8 GB,256 GB,M2,Windows 11
MSI,"₹87,990","₹77,990",4.7,16 GB,512 GB,Ryzen 7,Windows 11
Apple,"₹1,19,900","₹1,00,990",4.2,16 GB,512 GB,i5,Windows 11
Lenovo,"₹89,490","₹63,990",3.7,8 GB,512 GB,Ryzen 3,Windows 11
CHUWI,"₹39,990","₹18,990",4.1,16 GB,512 GB,i5,Windows 11
CHUWI,"₹59,990","₹41,990",4.1,8 GB,256 GB,i5,Windows 11
Lenovo,"₹54,090","₹32,990",4.1,16 GB,512 GB,i3,Windows 11
DELL,"₹70,000","₹52,990",4,8 GB,512 GB,i3,Windows 11
CHUWI,"₹44,990","₹21,990",3.9,8GB,256GB,Ryzen 3,Windows 11
CHUWI,"₹49,990","₹37,990",4.2,8 GB,256 GB,i5,Windows 11
HP,"₹32,295","₹23,588",3.6,8 GB,256 GB,i5,Windows 11
ASUS,"₹50,990","₹31,990",4.7,12GB,512GB,M2,Windows 11
Lenovo,"₹1,14,690","₹80,190",4.2,12 GB,512 GB,Ryzen 5,Windows 11
DELL,"₹62,415","₹51,990",4.5,4 GB,512 GB,Ryzen 7,Windows 11
Apple,"₹99,900","₹88,449",4,8 GB,512 GB,i3,Windows 11
ASUS,"₹62,990","₹37,990",3.9,16 GB,256 GB,i5,Windows 11
ASUS,"₹1,07,990","₹92,990",4.2,8 GB,512 GB,i3,Windows 11
DELL,"₹59,990","₹32,890",4.5,8 GB,512 GB,,
ASUS,"₹71,990","₹59,990",4,8 GB,256 GB,,
DELL,"₹49,422","₹37,990",5,16 GB,512 GB,,
ASUS,"₹77,990","₹64,990",4.2,16 GB,512 GB,i5,Windows 11
HP,"₹47,716","₹33,990",4.2,8 GB,512 GB,Ryzen 3,Windows 11
Acer,"₹92,290","₹75,999",4.2,8 GB,512 GB,i5,Windows 11
Lenovo,"₹34,990","₹65,390",4.3,16 GB,256GB,Ryzen 7,Windows 11
CHUWI,"₹34,990","₹15,990",3.7,8GB,256 GB,i5,Windows 11
CHUWI,"₹64,999","₹17,990",4.1,8 GB,256 GB,i3,Windows 11
Acer,"₹52,055","₹44,990",4.2,8 GB,512 GB,i5,Windows 11
HP,"₹39,990","₹37,990",4.2,8 GB,256 GB,i5,Windows 11
CHUWI,"₹59,990","₹18,990",3.7,8 GB,512 GB,i7,Windows 11
CHUWI,"₹80,090","₹41,990",4.2,8 GB,512 GB,Ryzen 7,Windows 11
Lenovo,"₹69,990","₹59,990",4.1,16 GB,512 GB,i3,Windows 11
MSI,"₹69,990","₹57,990",4,12 GB,512 GB,i3,Windows 11
Lenovo,"₹79,990","₹43,990",5,16 GB,512 GB,i7,Windows 11
ASUS,"₹44,990","₹58,990",4.5,16 GB,256 GB,i5,Windows 11
CHUWI,"₹49,990","₹21,990",4,16 GB,512GB,Ryzen 5,Windows 11
CHUWI,"₹1,28,990","₹37,990",4.2,8 GB,512 GB,i3,Windows 11
MSI,"₹1,21,990","₹1,14,990",4.3,12GB,512 GB,i3,Windows 11
ASUS,"₹94,990","₹1,00,990",4.2,12 GB,512 GB,i5,Windows 11
MSI,"₹51,999","₹66,990",4.3,16 GB,512 GB,,Windows 11
HP,"₹92,083","₹30,999",3.7,16 GB,512 GB,,Windows 11
HP,"₹50,843","₹76,990",4,16 GB,512 GB,,Windows 11
HP,"₹47,990","₹41,490",5,8 GB,512 GB,,Windows 11
MSI,"₹84,858","₹35,990",5,16 GB,,,Windows 11
HP,,"₹63,990",4.2,8 GB,,,Windows 11
CHUWI,"₹34,990","₹15,990",3.7,8GB,256GB,i5,Windows 11
CHUWI,"₹34,990","₹17,990",4.1,8 GB,256 GB,i3,Windows 11
Apple,"₹2,49,900","₹2,34,990",4.7,8 GB,256 GB,i5,Windows 11
Lenovo,"₹40,490","₹25,490",4.1,8 GB,18 GB,i5,Windows 11
CHUWI,"₹39,990","₹18,990",3.7,8 GB,512 GB,i3,Windows 11
CHUWI,"₹59,990","₹41,990",4.3,16 GB,256 GB,i3,Windows 11
Infinix,"₹99,990","₹64,990",4.1,16 GB,256 GB,i3,Windows 11
Acer,"₹69,131","₹43,999",4.2,8 GB,512 GB,i5,Windows 11
DELL,"₹66,472","₹49,990",4.1,16 GB,512 GB,Ryzen 5,Windows 11
DELL,"₹44,990","₹51,980",4,8 GB,512 GB,i5,Windows 11
CHUWI,"₹49,990","₹21,990",4,8 GB,512 GB,i3,Windows 11
CHUWI,"₹29,990","₹37,990",4,12GB,512 GB,i5,Windows 11
Acer,"₹57,790","₹22,990",4.3,12 GB,256 GB,Ryzen 3,Windows 11
Lenovo,"₹83,705","₹39,490",3,8 GB,512GB,i7,Windows 11
HP,"₹70,990","₹67,990",4.2,16 GB,512 GB,i5,Windows 11
ASUS,"₹65,104","₹40,990",4.2,16 GB,256 GB,i5,Windows 11
DELL,"₹49,990","₹47,490",4.1,16 GB,512 GB,,Windows 11
HP,"₹85,000","₹31,990",4,8 GB,512 GB,,Windows 11
DELL,"₹59,390","₹48,190",4,8 GB,512 GB,,Windows 11
Lenovo,"₹1,31,990","₹31,450",5,16 GB,512 GB,,Windows 11
ASUS,"₹59,327","₹1,04,990",4.5,8 GB,512 GB,,Windows 11
